State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.22372	1.22683	1.22845	1.23045	1.23319	1.23357	1.23456	1.23756	1.23893	1.25240	1.26100	1.26711	1.27622	1.28320	1.29592	1.30215	1.31300	1.32572	1.33383	1.34306	1.34730
2	0.43491	0.43551	0.43653	0.43827	0.44056	0.44320	0.44549	0.44789	0.45144	0.45457	0.45817	0.46070	0.46376	0.46599	0.46827	0.47164	0.47453	0.47705	0.47970	0.48264	0.48547
3	2.42110	2.41410	2.45609	2.35112	2.28115	2.26016	2.23917	2.14120	2.09922	2.08522	2.07823	2.01525	1.93828	1.85431	1.91729	1.86830	1.81932	1.85431	1.81233	1.80533	1.74235
4	3.30579	3.31776	3.31316	3.30855	3.27771	3.24779	3.21740	3.18748	3.14927	3.12257	3.09817	3.01255	2.94257	2.88917	2.82564	2.76534	2.69398	2.63414	2.57705	2.53010	2.48084
5	4.01438	3.91922	3.97275	3.93112	4.13332	4.19874	4.31174	4.20469	4.37121	4.17495	3.85380	4.23442	4.26416	4.20469	4.02627	3.80028	3.78244	3.56834	3.51481	3.36018	3.27692
6	1.54933	1.58604	1.53161	1.52907	1.51895	1.58097	1.60122	1.63540	1.62401	1.64679	1.74299	1.68856	1.68350	1.77464	1.82021	1.86324	1.88350	1.85565	1.88603	1.94679	2.02147
7	1.90710	1.93065	2.04366	2.07191	2.19905	2.24614	2.40154	2.41566	2.46746	2.28852	1.99186	2.26027	2.47688	2.34503	2.26498	2.40625	2.46275	2.51926	2.62756	2.63227	2.60873
8	3.73433	3.43466	3.30404	3.41929	3.45771	3.47308	3.51918	3.97253	4.23378	4.15694	3.81117	3.98021	3.80348	3.65749	3.84959	3.80348	3.95716	4.29525	4.14925	3.87264	3.58065
9	2.93433	2.69572	2.70861	2.65702	2.54094	2.62478	2.27008	2.19269	2.17979	2.22493	2.34747	2.33457	2.25073	2.24428	2.15399	2.39906	2.17334	2.15399	2.25073	2.19914	2.31522
10	4.44116	4.42977	4.42407	4.28742	4.15647	3.79206	3.81484	3.56431	3.31948	3.06895	3.02340	3.05756	3.21699	3.33656	3.27393	3.12589	3.22268	3.14297	3.06895	3.07465	3.16005
