State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.57767	1.54168	1.48841	1.42029	1.33389	1.23715	1.12511	1.01164	0.92525	0.87517	0.85525	0.85723	0.89311	0.94429	0.99381	1.04774	1.09980	1.15032	1.20127	1.23847	1.26929
2	0.38287	0.37958	0.37465	0.36759	0.36059	0.35019	0.33698	0.32238	0.30870	0.29999	0.29416	0.29235	0.29485	0.30116	0.30944	0.31724	0.32520	0.33140	0.33682	0.34111	0.34409
3	1.92059	1.84649	1.98235	1.95147	2.04411	2.01323	1.82179	1.48831	1.07454	0.88928	0.77194	0.71019	0.71636	0.74724	0.82752	0.90163	1.11777	1.21041	1.25981	1.34627	1.35244
4	0.89342	0.83166	0.75284	0.68946	0.63421	0.58220	0.53670	0.49404	0.47860	0.47129	0.46682	0.47738	0.49242	0.50623	0.52207	0.56880	0.66793	0.80850	0.98930	1.16725	1.37811
5	2.46165	2.10474	1.74257	1.45914	1.24919	1.12323	1.14947	1.06549	0.93427	1.04974	1.09173	1.13372	1.11798	1.17046	1.39091	1.49064	1.96827	2.83956	3.83156	4.99153	5.72635
6	3.98589	4.03728	4.12777	4.06968	3.90434	3.51111	2.98272	2.29680	1.73377	1.43997	1.28022	1.22995	1.32491	1.43215	1.57961	1.93039	2.46661	3.07879	3.41616	3.74683	3.80045
7	4.33038	4.61297	4.59635	4.72934	4.28882	4.02285	3.81505	3.45350	2.22753	1.75376	1.67480	1.62493	1.51688	1.57090	1.79532	2.45610	3.49090	4.38025	4.87895	5.09505	4.94128
8	6.88984	7.98163	9.21583	11.01289	13.58301	15.23766	17.42803	19.13015	18.75039	12.32847	6.31342	7.03224	8.40207	12.78282	18.69614	22.48012	21.66636	19.10980	16.18705	13.33889	11.43333
9	6.30064	7.06332	8.25287	9.74977	11.32635	13.97296	15.77720	17.71236	19.07266	25.32776	27.31414	15.85689	14.37706	14.13801	15.54385	17.06920	17.72374	16.33498	14.63888	12.25408	10.60920
10	5.73861	6.80392	8.56268	10.86918	14.26611	18.98463	25.45689	33.45175	42.44156	46.81335	51.90372	61.73272	59.67747	52.91376	42.83854	32.37639	23.74838	17.49722	12.97467	9.95462	7.75867
