State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	28.03951	1.04677	1.13879	1.12401	1.26101	0.85528	1.21940	0.78069
2	58.16097	0.17800	0.41012	0.74519	0.45822	0.29417	0.36105	1.26305
3	0.49970	1.84145	2.61618	1.33736	2.07844	0.77197	1.32749	0.67638
4	7.59554	0.69609	3.55162	2.15099	3.09850	0.46683	0.71815	0.29469
5	0.58794	0.55220	3.99264	2.00260	3.84231	1.09177	1.79316	0.21152
6	2.76240	0.66559	1.28177	1.28566	1.74318	1.28026	2.68702	0.41446
7	0.74256	0.46100	1.84884	1.37729	1.99207	1.67485	3.24364	0.36629
8	0.45506	5.40323	3.20230	1.46116	3.81157	6.31362	12.28370	0.24473
9	0.54219	26.51961	3.84812	1.26970	2.34771	27.31498	13.93220	0.48142
10	0.61411	56.57920	8.34888	1.67954	3.02372	51.90030	23.87530	0.25971
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
