State (Emission order)	H3k4me2	H3k4me3	H3k9ac	H3k27ac	H3k4me1	H3k9me1	H4k20me1	H3k36me3	H3k27me3	H3k9me3
1	4.1473020772784624E-4	0.0010277823954451702	3.9056603467481116E-4	0.0036868324786309367	0.003296257603486479	0.025662867091308963	0.014536054108466995	0.0016512366775123992	0.02894690637367285	0.0025071567601979115
2	1.343808203252796E-4	4.618164597663635E-4	1.0174276164312489E-4	6.135529043794203E-4	5.834282473172204E-4	0.005067307647019657	8.47745087127797E-4	7.374608981465882E-4	9.132523684939259E-4	0.005859757262033819
3	0.0025566597233061678	0.005103160488533553	6.787869464978211E-4	0.016471103975814617	0.01337253438628891	0.011991364416106914	0.00122031620422896	0.10455303669001229	0.002131917452419723	0.33716293262936886
4	1.1189282636786297E-5	5.611159204362747E-4	8.376399805339783E-4	0.005844111493883263	0.002811705004992896	0.031151362379062537	0.007791557641140807	0.18284860122580776	8.765326634046697E-5	0.002548840278520807
5	0.03299347510595435	0.02129806628242448	0.024904683037912403	0.14712901948066928	0.38006632515189365	0.3137254195165917	0.24344624776575258	0.5681892538050918	0.02776771093914032	0.04100190676778952
6	0.007988900303194104	0.010202937561281605	0.010522217105860269	0.02544581018148256	0.4357485504651872	0.047045154564819495	0.014149732785194335	0.012360349008600172	0.0013018875190324412	0.003786937953800941
7	0.2487163350541856	0.12496109414289046	0.2516858685730319	0.5994834442682884	0.9334576709070769	0.12255353545326082	0.0330319015857062	0.11636182166607101	1.8955693200745975E-4	0.020840898184512357
8	0.9667549786969122	0.837582599806277	0.870334075899784	0.8744202123929483	0.9661202732007411	0.152197001128998	0.09668271799726298	0.16860546594063505	0.003159372205568345	0.01974994240863644
9	0.6045079852069506	0.45440300531663563	0.2969260025560128	0.09456191032733696	0.27030804363429484	0.02753515477997688	0.013113376533797298	0.010030978630001948	0.012235493698423316	0.01150340903902701
10	0.9930285372890031	0.9628362974453872	0.9903710902845543	0.8327583963960032	0.08020725341730743	0.01198131784853823	0.036394643650577936	0.034131094420735336	6.329984781929484E-5	0.005114747059742843
