State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9797771273762913	0.001891003414883959	0.0010772421013128617	0.0	4.581745455150173E-4	0.014506376843007433	0.0	3.668619012723947E-5	0.0022533895288620763	0.0
2	8.971123475624828E-4	0.9973683463436489	3.142797745261432E-4	3.564533469804666E-4	0.0	6.21825126579241E-4	1.2802536590911085E-5	1.6254636438713663E-8	4.210018087138967E-4	8.162460761367195E-6
3	0.048912434326776985	0.031158887639397607	0.8770878304431128	0.02020130244325081	0.001906803876140851	0.005979081279391492	0.009557465900021697	0.0010327331577887915	0.0036849985419724744	4.784623921465559E-4
4	0.0	0.002779435907061649	0.0016253383740137245	0.9678941729617473	0.019615732002422975	0.006614022501313906	6.876698690439977E-4	1.4195831710560038E-4	5.959025994799923E-4	4.576746781095491E-5
5	0.019279521017440952	0.0	0.0016202293873725	0.21418647113952546	0.7097708180520923	0.02896752685866313	0.016328117653292937	0.006526829090861822	0.0033204868007509557	0.0
6	0.12634405201431592	0.011417940294039997	0.0010797446306292304	0.015020929878097708	0.006719806184222037	0.7462802948531081	0.07368990413478381	0.005607219355515796	0.013723837632212242	1.1627102307516385E-4
7	0.0	0.0011138725834777697	0.006372020144154278	0.0069203943436983726	0.013159651857741908	0.28633266291354625	0.591598302896479	0.09123266453384525	0.0032704307270569224	0.0
8	0.001261549102057802	1.4173726630085655E-7	0.0015252008553448431	0.0028700237276659286	0.010807364204727353	0.0423392872577127	0.16343685911546063	0.5986760471030282	0.07620878000316525	0.10287474689357103
9	0.10684246612879876	0.04149467389328659	0.0039116742823549775	0.007867080851913212	0.004344963446223928	0.0762776849653551	0.004966134615642763	0.059909966175620166	0.5605441895926734	0.13384116604813123
10	0.0	9.246724395203265E-4	3.511831933475004E-4	4.890142905373325E-4	0.0	5.748545685206671E-4	0.0	0.07421413897503579	0.12454366910122298	0.7989024674318155
